Head,Relation,Tail,Context
极大似然估计,EQUIVALENT_TO,经验风险最小化,当模型是条件概率分布且损失函数是对数损失时
最大后验概率估计,EQUIVALENT_TO,结构风险最小化,当模型是条件概率分布、损失函数是对数损失、模型复杂度由模型的先验概率表示时
正则化,APPLIED_TO,模型选择,模型选择的典型方法是正则化
交叉验证,APPLIED_TO,模型选择,另一种常用的模型选择方法是交叉验证
生成模型,COMPARE,判别模型,监督学习方法可分为生成方法与判别方法，两者互为对比例子
概率模型,EQUIVALENT_TO,生成模型,在监督学习中，概率模型是生成模型
非概率模型,EQUIVALENT_TO,判别模型,在监督学习中，非概率模型是判别模型
风险函数,EQUIVALENT_TO,泛化误差,泛化误差就是所学习到的模型的期望风险，即风险函数
训练误差,EQUIVALENT_TO,经验风险,训练误差是模型关于训练数据集的平均损失，即经验风险
结构风险,COMPRISE,经验风险,结构风险在经验风险的基础上增加了正则化项
损失函数,COMPRISE,0-1损失函数,常用损失函数之一
损失函数,COMPRISE,平方损失函数,常用损失函数之一
损失函数,COMPRISE,绝对损失函数,常用损失函数之一
损失函数,COMPRISE,对数损失函数,常用损失函数之一
监督学习,COMPRISE,模型,统计学习方法三要素之一
监督学习,COMPRISE,策略,统计学习方法三要素之一
监督学习,COMPRISE,算法,统计学习方法三要素之一
统计学习,COMPRISE,监督学习,基本分类
统计学习,COMPRISE,无监督学习,基本分类
统计学习,COMPRISE,强化学习,基本分类
监督学习,COMPRISE,分类问题,监督学习的主要应用
监督学习,COMPRISE,标注问题,监督学习的主要应用
监督学习,COMPRISE,回归问题,监督学习的主要应用
隐马尔可夫模型,PREREQUISITE,齐次马尔可夫性假设,HMM基于齐次马尔可夫假设。
隐马尔可夫模型,PREREQUISITE,观测独立性假设,HMM基于观测独立性假设。
隐马尔可夫模型,COMPRISE,概率计算问题,HMM三个基本问题之一
隐马尔可夫模型,COMPRISE,学习问题,HMM三个基本问题之一
隐马尔可夫模型,COMPRISE,预测问题,HMM三个基本问题之一
隐马尔可夫模型,COMPRISE,状态转移概率矩阵,HMM模型三要素之一
隐马尔可夫模型,COMPRISE,观测概率矩阵,HMM模型三要素之一
隐马尔可夫模型,COMPRISE,初始状态概率向量,HMM模型三要素之一
概率计算问题,APPLIED_TO,前向算法,前向算法解决概率计算问题
概率计算问题,APPLIED_TO,后向算法,后向算法解决概率计算问题
前向算法,PREREQUISITE,前向概率,前向算法基于前向概率的定义递推。
后向算法,PREREQUISITE,后向概率,后向算法基于后向概率的定义递推。
学习问题,APPLIED_TO,Baum-Welch算法,Baum-Welch算法解决无监督学习问题，是EM算法在HMM中的实现。
Baum-Welch算法,EQUIVALENT_TO,EM算法,Baum-Welch算法是EM算法在隐马尔可夫模型学习中的具体实现。
Baum-Welch算法,PREREQUISITE,前向算法,Baum-Welch算法的E步需要使用前向算法计算α。
Baum-Welch算法,PREREQUISITE,后向算法,Baum-Welch算法的E步需要使用后向算法计算β。
预测问题,APPLIED_TO,维特比算法,维特比算法解决解码问题，求最优状态序列。
隐马尔可夫模型,PREREQUISITE,马尔可夫链,HMM的隐藏状态序列构成马尔可夫链。
隐马尔可夫模型,COMPRISE,状态序列,状态序列是HMM的隐变量部分。
隐马尔可夫模型,COMPRISE,观测序列,观测序列是HMM的观测变量部分。
隐马尔可夫模型,COMPRISE,观测序列生成算法,用于理解和模拟HMM的数据生成过程。
隐马尔可夫模型,COMPARE,高斯混合模型,HMM可以看作混合模型的推广，混合模型中样本独立同分布，HMM中状态序列具有马尔可夫依赖性。
马尔可夫链,COMPARE,隐马尔可夫模型,马尔可夫链状态直接可见，HMM状态隐藏不可见。
隐马尔可夫模型,APPLIED_TO,标注问题,HMM可用于解决序列标注问题。
生成模型,COMPRISE,马尔可夫随机场,马尔可夫随机场属于生成模型，直接对联合概率分布建模
线性链条件随机场,PREREQUISITE,马尔可夫随机场,条件随机场是给定输入变量X条件下，输出变量Y的马尔可夫随机场。
概率无向图模型,EQUIVALENT_TO,马尔可夫随机场,概率无向图模型又称马尔可夫随机场。
概率无向图模型,PREREQUISITE,最大团,概率无向图模型的因子分解需要首先确定最大团。
概率无向图模型,PREREQUISITE,因子分解,概率无向图模型的最大特点是易于因子分解。
因子分解,PREREQUISITE,势函数,因子分解将联合概率表示为最大团上势函数的乘积。
线性链条件随机场,COMPRISE,特征函数,CRF模型由特征函数及其对应权值完全确定。
特征函数,COMPRISE,转移特征,转移特征是定义在边上的一类特征函数。
特征函数,COMPRISE,状态特征,状态特征是定义在结点上的一类特征函数。
线性链条件随机场,PREREQUISITE,条件随机场的矩阵形式,矩阵形式是线性链条件随机场的等价表示，便于计算。
条件随机场的矩阵形式,APPLIED_TO,前向-后向算法,前向-后向算法利用矩阵形式进行概率和期望的递推计算。
前向-后向算法,APPLIED_TO,条件随机场的学习问题,学习问题在E步需要前向-后向算法计算概率和期望。
前向-后向算法,APPLIED_TO,条件随机场的预测问题,预测问题（维特比算法）的思路与前向-后向算法类似，但将求和改为求最大值。
条件随机场的学习问题,OPTIMIZED_BY,改进的迭代尺度法,可用改进的迭代尺度法(IIS)求解条件随机场的参数。
线性链条件随机场,COMPARE,隐马尔可夫模型,"两者都用于序列标注，HMM是生成模型对P(X,Y)建模，CRF是判别模型对P(Y|X)建模。HMM的概率分布是局部归一化的，CRF是全局归一化的。"
线性链条件随机场,COMPARE,最大熵模型,两者都是对数线性模型，条件随机场可以看做最大熵模型在序列标注问题上的推广，特征函数增加了位置依赖。
线性链条件随机场,APPLIED_TO,标注问题,线性链条件随机场广泛应用于序列标注问题。
线性模型,COMPRISE,感知机,感知机是线性二类分类模型。
对数线性模型,COMPRISE,逻辑斯谛回归模型,逻辑斯谛回归模型属于对数线性模型。
对数线性模型,COMPRISE,最大熵模型,最大熵模型属于对数线性模型。
对数线性模型,COMPRISE,线性链条件随机场,条件随机场是对数线性模型在序列标注上的推广。
非线性模型,COMPRISE,k近邻法,k近邻法根据近邻距离决策，属于非线性模型。
非线性模型,COMPRISE,决策树,决策树按特征条件分支，构成非线性映射。
非线性模型,COMPRISE,支持向量机,引入核函数的支持向量机可实现非线性分类。
非线性模型,COMPRISE,提升方法,提升方法组合多个基分类器，整体为非线性模型。
生成模型,COMPRISE,朴素贝叶斯法,朴素贝叶斯通过学习联合概率分布生成模型。
