Name,Type,Definition,Formula,Teaching_Note,Source
统计学习,Concept,统计学习是关于计算机基于数据构建概率统计模型并运用模型对数据进行预测与分析的一门学科。,无,本书主要讨论监督学习。,CH01-统计学习及监督学习概论
监督学习,Task,从给定有限的训练数据出发，假设数据是独立同分布的，并且假设模型属于某个假设空间，应用某一评价准则，从假设空间中选取一个最优的模型，使它对已给的训练数据以及未知测试数据在给定评价标准意义下有最准确的预测。,无,在监督学习中输入和输出对称为样本。,CH01-基本分类
无监督学习,Task,从无标注数据中学习预测模型，样本只有输入x。,无,无,CH01-基本分类
强化学习,Task,智能系统在与环境的连续互动中学习最优行为策略的机器学习问题。,无,无,CH01-基本分类
模型,Concept,在监督学习中，模型是所要学习的条件概率分布或决策函数。,"假设空间：$\cal F =\{f_{\theta} \mid Y=f_{\theta}(x), \theta \in \bf R ^n\}$ 或 $\cal F =\{P\mid P_{\theta}(Y\mid X),\theta\in \bf R ^n\}$",模型由假设空间和参数空间决定。,CH01-模型
策略,Concept,按照什么样的准则学习或选择最优模型。,无,损失函数、风险函数、经验风险、结构风险都是策略的一部分。,CH01-策略
算法,Concept,学习模型的具体计算方法，即求解最优模型的算法。,无,统计学习方法三要素：模型、策略、算法。,CH01-算法
假设空间,Concept,包含所有可能的模型的集合，即学习模型的集合。,$\cal F$,无,CH01-实现统计学习方法的步骤
损失函数,Math,"度量模型一次预测好坏的函数，定义为给定输入X的预测值f(X)和真实值Y之间的非负实值函数，记作L(Y,f(X))。","$L(Y,f(X))$",损失函数数值越小，模型越好。注意与风险函数的区别。,CH01-损失函数与风险函数
风险函数,Math,"度量平均意义下模型预测好坏的函数，即模型关于联合分布P(X,Y)的期望损失。","$R_{exp}(f)=E_p[L(Y, f(X))]=\int_{\mathcal X\times\mathcal Y}L(y,f(x))P(x,y)\, {\rm d}x{\rm d}y$","因P(X,Y)未知，所以是期望，也称期望损失。",CH01-风险函数
经验风险,Math,模型关于训练样本集的平均损失。,"$R_{emp}(f)=\frac{1}{N}\sum^{N}_{i=1}L(y_i,f(x_i))$",根据大数定律，当样本容量N趋于无穷大时，经验风险趋于期望风险。,CH01-经验风险
结构风险,Math,在经验风险上加上表示模型复杂度的正则化项或罚项。,"$R_{srm}(f)=\frac{1}{N}\sum_{i=1}^{N}L(y_i,f(x_i))+\lambda J(f)$",$J(f)$为模型复杂度，$\lambda \geqslant 0$是系数，用以权衡经验风险和模型复杂度。,CH01-结构风险
0-1损失函数,Math,当预测错误时损失为1，正确时损失为0的损失函数。,"$L(Y,f(X))=\begin{cases}1, Y \neq f(X) \\0, Y=f(X) \end{cases}$",无,CH01-常用损失函数
平方损失函数,Math,预测值与真实值之差的平方。,"$L(Y,f(X))=(Y-f(X))^2$",无,CH01-常用损失函数
绝对损失函数,Math,预测值与真实值之差的绝对值。,"$L(Y,f(X))=|Y-f(X)|$",无,CH01-常用损失函数
对数损失函数,Math,负的对数似然，用于概率模型。,"$L(Y,P(Y|X))=-\log P(Y|X)$",由于P(Y|X)≤1，对数是负值，所以加负号使其非负。,CH01-常用损失函数
经验风险最小化,Strategy,在经验风险最小的准则下求解最优模型。,无,极大似然估计是经验风险最小化当模型为条件概率分布、损失为对数损失时的特例。,CH01-ERM与SRM
结构风险最小化,Strategy,在结构风险最小的准则下求解最优模型，以防止过拟合。,无,最大后验概率估计是结构风险最小化当模型为条件概率分布、损失为对数损失、模型复杂度由模型的先验概率表示时的特例。,CH01-ERM与SRM
极大似然估计,Algorithm,通过最大化似然函数来估计模型参数的统计方法。,无,等价于经验风险最小化（条件概率模型+对数损失）。,CH01-ERM与SRM
最大后验概率估计,Algorithm,结合先验分布，通过最大化后验概率来估计模型参数的方法。,无,等价于结构风险最小化（条件概率模型+对数损失+模型先验）。,CH01-ERM与SRM
正则化,Strategy,模型选择的典型方法，通过在经验风险上添加正则化项来限制模型复杂度，符合奥卡姆剃刀原理。,$\lambda J(f)$ 作为结构风险的组成部分,正则化用于防止过拟合。,CH01-正则化
交叉验证,Evaluation,一种模型选择方法，将数据切分为训练集和验证集，反复训练和评估以选出平均测试误差最小的模型。,无,验证集与测试集不同：验证集用于模型选择时的‘偷窥’效果，测试集用于最终评估。常用有S折交叉验证、留一法。,CH01-交叉验证
过拟合,Concept,学习时选择的模型包含的参数过多，以至于模型对已知数据预测得很好，但对未知数据预测很差的现象。,无,模型选择旨在避免过拟合。,CH01-过拟合与模型选择
模型选择,Task,从假设空间中选出最优模型的过程，旨在避免过拟合并提高泛化能力。,无,常用方法：正则化与交叉验证。,CH01-模型评估与模型选择
